title,rating,price,image,description,brand
SAMSUNG 189 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Digital Inverter,4.5,"17,290",https://rukminim2.flixcart.com/www/100/100/promos/08/07/2019/7e4ee41e-ce86-43e0-834e-485eaf5a3cfb.png?q=90,"Digital Inverter Compressor, Built-in Stabilizer, 1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",SAMSUNG
Haier 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,4.4,"15,490",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/v/s/0/-original-imagub7tcgvzcfgf.jpeg?q=70,"Normal Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years on Compressor",Haier
SAMSUNG 236 L Frost Free Double Door 3 Star Refrigerator with Digital Inverter,4.4,"24,890",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/7/t/g/-original-imagrt58ahjdmdwm.jpeg?q=70,"Digital Inverter Compressor, Built-in Stabilizer, 1 Year Comprehensive Warranty on Product and 20 Years Warranty on Compressor",SAMSUNG
realme TechLife 564 L Frost Free Side by Side Refrigerator,4.4,"47,990",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/v/z/4/-original-imagpqjfcsxhhsqd.jpeg?q=70,"Advanced Inverter Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years on Compressor",realme
SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Digital Inverter,4.4,"16,190",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/r/e/l/-original-imaggs9nhrntdpex.jpeg?q=70,"Digital Inverter Compressor, Built-in Stabilizer, 1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",SAMSUNG
MarQ by Flipkart 468 L Frost Free Side by Side Refrigerator,4.3,"37,990",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/a/p/f/-original-imagub7xrumdszmw.jpeg?q=70,"Reciprocatory Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 5 Years on Compressor",MarQ by Flipkart
LG 185 L Direct Cool Single Door 5 Star Refrigerator,4.5,"16,890",https://rukminim2.flixcart.com/image/312/312/kfeamq80/refrigerator-new/c/t/h/468asmqs-na-marq-by-flipkart-original-imafvufgxpd8bged.jpeg?q=70,"Smart Inverter Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years on Compressor From LG",LG
Haier 190 L Direct Cool Single Door 5 Star Refrigerator,4.4,"15,290",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/r/h/9/-original-imagszgdgtuhfzyh.jpeg?q=70,"Normal Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years Warranty on Compressor",Haier
LG 185 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer with Smart Inverter Compressor,4.4,"15,890",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/4/6/p/-original-imagrt57rnafjhxg.jpeg?q=70,"Smart Inverter Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years Warranty on Compressor from LG",LG
Whirlpool 207 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.4,"18,990",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/7/6/b/-original-imagszgcghzrhhxv.jpeg?q=70,"Inverter Compressor, Built-in Stabilizer, 1 Year on Product and 10 Years on Compressor from Whirlpool",Whirlpool
Haier 240 L Frost Free Double Door 2 Star Refrigerator,4.4,"18,990",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/y/m/y/-original-imagqujvuhqfnmqj.jpeg?q=70,"Normal Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years Warranty on Compressor",Haier
Haier 596 L Frost Free Side by Side Convertible Refrigerator,4.5,"59,990",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/m/a/h/-original-imagpgzcnh2heh3z.jpeg?q=70,"Inverter Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years Warranty on Compressor & fan motor",Haier
LG 242 L Frost Free Double Door 3 Star Refrigerator with Smart Inverter,4.4,"24,890",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/8/u/4/-original-imagrt57je6csdsx.jpeg?q=70,"Smart Inverter Compressor, Built-in Stabilizer, 1 Year on Product and 10 Years on Compressor from LG",LG
SAMSUNG 189 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Digital Inverter,4.5,"17,290",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/t/x/s/-original-imaghtghjcf67haj.jpeg?q=70,"Digital Inverter Compressor, Built-in Stabilizer, 1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",SAMSUNG
Haier 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.4,"16,790",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/l/p/e/-original-imagub7y8japxcyn.jpeg?q=70,"Normal Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years Warranty on Compressor",Haier
SAMSUNG 236 L Frost Free Double Door 2 Star Convertible Refrigerator with Digital Inverter with Displ...,4.4,"24,990",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/q/n/g/-original-imagsutaafrjpnvd.jpeg?q=70,"Normal Compressor, Built-in Stabilizer, 1 Year Warranty on Product and 10 Years on Compressor From Samsung",SAMSUNG
Haier 185 L Direct Cool Single Door 2 Star Refrigerator,4.3,"12,790",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/9/l/z/-original-imagnjywtpgp8ezd.jpeg?q=70,"Normal Compressor, Built-in Stabilizer, 1 Year on Product and 10 Years on Compressor From Haier",Haier
Whirlpool 300 L Frost Free Triple Door Refrigerator,4.3,"31,090",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/n/k/e/-original-imagrsfxjhahaavg.jpeg?q=70,1 Year Warranty on Product and 5 Years on Compressor,Whirlpool
Whirlpool 240 L Frost Free Triple Door Refrigerator,4.4,"25,790",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/9/j/y/-original-imagt76kk4e2gq3j.jpeg?q=70,"Normal Compressor, Built-in Stabilizer, 1 Year on Product and 10 Years on Compressor From Whirlpool",Whirlpool
LG 240 L Frost Free Double Door 3 Star Convertible Refrigerator with Smart Inverter,4.4,"25,990",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/9/j/y/-original-imagt76kk4e2gq3j.jpeg?q=70,"Digital Inverter Compressor, Built-in Stabilizer, 1 year comprehensive warranty on product, 20 years on compressor, For all Refrigerators with Digital Inverter Compressors, sold on or after 1st Dec 2022 (All Refrigerator apart from Non-Digital Inverter Technology Direct Cool Models) the Warranty period on the Digital Inverter Compressor shall be revised from 10 years to 20 years.",LG
SAMSUNG 189 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer with Digital Inverter,4.5,"16,890",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/r/r/6/-original-imagtjfb9czbgtrq.jpeg?q=70,1 Year Warranty on Product and 10 Years on Compressor From Samsung,SAMSUNG
Haier 240 L Frost Free Double Door 3 Star Convertible Refrigerator,4.4,"22,990",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/b/b/u/-original-imagub83xn6hrhtb.jpeg?q=70,Normal Compressor,Haier
MarQ by Flipkart 560 L Frost Free Side by Side Refrigerator with Water Dispenser,4.5,"45,990",https://rukminim2.flixcart.com/image/312/312/xif0q/refrigerator-new/c/a/l/-original-imagrt57mtym2jzx.jpeg?q=70,"Reciprocatory Compressor, 1 Year Warranty on Product and 5 Years on Compressor Warranty",MarQ by Flipkart
Whirlpool 184 L Direct Cool Single Door 2 Star Refrigerator,4.3,"12,190",https://rukminim2.flixcart.com/image/312/312/k16qzrk0/refrigerator-new/u/h/k/sbs-560w-na-marq-by-flipkart-original-imafkpazkqm7tnbr.jpeg?q=70,"Normal Compressor, Built-in Stabilizer, 1 Year on Product and 10 Years on Compressor From Whirlpool",Whirlpool
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 3 Star Split Inverter ...,4.3,"36,490",https://rukminim2.flixcart.com/www/100/100/promos/08/07/2019/7e4ee41e-ce86-43e0-834e-485eaf5a3cfb.png?q=90,"Annual Power Usage: 1002.72 kWh, Room Size: 111 - 150 sqft, 1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",Panasonic
Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 5 Star Split Inverter i-sense Technology with Blue ...,4.1,"33,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/q/l/z/-original-imagn9twufudm57a.jpeg?q=70,"Annual Power Usage: 524.03 kWh, Room Size: 90 sqft or Below, 10 years warranty on Inverter compressor, 5 years warranty on PCB & 1 year comprehensive warranty.",Godrej
"LG Super Convertible 6-in-1 Cooling 1 Ton 5 Star Split Inverter AI, 4 Way Swing, HD Filter with Anti-V...",4.2,"29,948",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/x/c/x/-original-imaghthwhx79vgrp.jpeg?q=70,"Annual Power Usage: 571.99 kWh, Room Size: 90 sqft or Below, 1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor from LG",LG
ONIDA 2023 Model 1.5 Ton 3 Star Split Inverter AC - White,4.3,"31,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/o/n/v/-original-imaggf36gs6p98gf.jpeg?q=70,"Annual Power Usage: 968.04 kWh, Room Size: 111 - 150 sqft, 1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging",ONIDA
"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with ...",4.2,"36,990",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/1/w/o/-original-imagmvdwha5urrsy.jpeg?q=70,"Annual Power Usage: 965.71 kWh, Room Size: 111 - 150 sqft, 1 Year Warranty on Whole Product and 10 Years Warranty on Inverter Compressor",LG
"LG Convertible 5-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split Inverter 2 Way Swing, HD Filter with Ant...",4.2,"36,990",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/w/x/2/-original-imagn42ywxwzszxp.jpeg?q=70,"Annual Power Usage: 975.26 kWh, Room Size: 111 - 150 sqft, 1 Year Warranty on Product and 10 Years Warranty on Compressor",LG
Godrej 5-In-1 Convertible Cooling 2023 Model 1.5 Ton 3 Star Split Inverter With Heavy Duty Cooling at ...,4.1,"33,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/o/m/q/-original-imaghjhyrkphgycz.jpeg?q=70,"Annual Power Usage: 751.28 kWh, Room Size: 111 - 150 sqft, 1 Year Warranty on Product and 10 Years Warranty on Compressor",Godrej
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1 Ton 3 Star Split Inverter wi...,4.3,"33,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/f/u/j/-original-imagtck8htzk52vb.jpeg?q=70,"Annual Power Usage: 1026.46 kWh, Room Size: 111 - 150 sqft, 1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor",Panasonic
Voltas 1.5 Ton 3 Star Split Inverter AC - White,4.2,"33,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/u/r/k/-original-imagmxwtsr4ukzud.jpeg?q=70,"Annual Power Usage: 523.15 kWh, Room Size: 90 sqft or Below, 1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",Voltas
Voltas 2023 Model 1.5 Ton 5 Star Split Inverter AC - White,4.2,"39,990",https://rukminim2.flixcart.com/image/312/312/l4oi4cw0/air-conditioner-new/k/h/x/-original-imagfgphcfuhcnhg.jpeg?q=70,"Annual Power Usage: 854.16 kWh, Room Size: 111 - 150 sqft, 1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor",Voltas
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1.5 Ton 5 Star Split Inverter ...,4.3,"43,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/2/7/z/-original-imagkqs8qrsyxmbu.jpeg?q=70,"Annual Power Usage: 975.26 kWh, Room Size: 111 - 150 sqft, 1 Year Warranty on Product and 10 Years Warranty on Compressor",Panasonic
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1 Ton 4 Star Split Inverter wi...,4.3,"33,990",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/b/j/y/-original-imagmxwtwz65b9hh.jpeg?q=70,"Annual Power Usage: 752.43 kWh, Room Size: 90 sqft or Below, 1 Year Comprehensive Warranty and 6 Years on Compressor",Panasonic
Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 4 Star Split Inverter with 4 Way Swing and Tri Fi...,4.1,"34,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/7/p/v/-original-imagmm9amhhwymeg.jpeg?q=70,"Annual Power Usage: 704.42 kWh, Room Size: 90 sqft or Below, 1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor",Godrej
Voltas 1.5 Ton 3 Star Split Inverter AC - White,4.2,"33,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/q/2/y/-original-imagz59tfm2hgr2m.jpeg?q=70,"Annual Power Usage: 694.03 kWh, Room Size: 90 sqft or Below, 10 years warranty on Inverter compressor, 5 years warranty on PCB & 1 year comprehensive warranty.",Voltas
Blue Star 2023 Model 1 Ton 3 Star Split Inverter AC with Wi-fi Connect - White,4.1,"33,290",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/t/l/q/-original-imagpfhkam9zsjqb.jpeg?q=70,"Annual Power Usage: 876.76 kWh, Room Size: 111 - 150 sqft, 1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor",Blue Star
Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue ...,4.3,"29,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/p/n/l/-original-imagp8wqp6rybfsh.jpeg?q=70,"Annual Power Usage: 694.03 kWh, Room Size: 90 sqft or Below, 1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor",Godrej
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 1 Ton 5 Star Split Inverter wi...,4,"37,990",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/w/r/w/-original-imaghskejdgzkyym.jpeg?q=70,"Annual Power Usage: 883.14 kWh, Room Size: 111 - 150 sqft, 10 years warranty on Inverter compressor, 5 years warranty on PCB & 1 year comprehensive warranty.",Panasonic
Whirlpool Convertible 4-in-1 Cooling 2023 Model 1.5 Ton 4 Star Split Inverter 6th Sense Technology AC ...,3.9,"34,490",https://rukminim2.flixcart.com/image/312/312/xif0q/air-conditioner-new/o/g/e/-original-imagmxwtg2t6ryjp.jpeg?q=70,"Annual Power Usage: 1026.46 kWh, Room Size: 111 - 150 sqft, 1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Inverter Compressor",Whirlpool
